time,symbol,highPrice,deltaHighPrice,lowPrice,deltaLowPrice,closePrice,deltaClosePrice,openPrice,volume,sma,deltaSMA,ema,deltaEMA,rsi,adx,oscillateurStochastique,oscillateurStochastiqueSMA
2023-01-05 18:00:00,MSFT,220.115,1.0007228718470969,219.843,1.0005415885383482,220.101,1.000722917860163,219.979,7110,222.8316875,0.9983129543822865,223.35016355128022,1.0006357899014944,27.29138166894667,42.81131090406892,2.883979362349377,9.587964789409144
2023-01-05 19:00:00,MSFT,220.154,1.0001771801103967,219.833,0.9999545129933635,220.101,1.0,220.097,9454,222.489125,0.9984626849805641,223.04071940353924,1.000938070818762,23.8599283724633,43.92631702428989,2.883979362349377,9.112782400794421
2023-01-06 04:00:00,MSFT,220.204,1.0002271137476495,218.972,0.9960833905737537,219.24,0.9960881595267628,220.107,10574,222.07175,0.998124065614443,222.6787461270117,1.0008522714402859,18.8756041719664,44.94210972511921,0.0,8.70720572145348
2023-01-06 05:00:00,MSFT,219.857,0.9984241884797732,219.309,1.0015390095537329,219.745,1.0023034117861704,219.494,2545,221.6389375,0.9980510240496596,222.39934173396296,1.0014751616716802,18.734219828311765,46.00277751446241,6.15703486954396,8.734483711194333
2023-01-06 06:00:00,MSFT,219.659,0.9990994146195027,219.338,1.0001322335152685,219.448,0.9986484334114542,219.632,3359,221.1393125,0.9977457706410454,222.11826156882364,1.0021626347528563,25.74957571186117,47.19996371552406,2.799461641991911,8.320984871758391
2023-01-06 07:00:00,MSFT,219.936,1.001261045529662,219.042,0.9986504846401445,219.873,1.0019366774816811,219.573,15585,220.7145,0.9980789824513903,221.9044271336976,1.0034598761524938,31.25786883369574,48.44916769205644,11.20552310143355,7.805464960522626
2023-01-06 08:00:00,MSFT,223.607,1.0166912192637858,219.032,0.9999543466549794,222.861,1.0135896631237122,219.355,285214,220.58774999999997,0.9994257287128847,221.99552931144066,1.0058040106628277,38.20360731146338,48.9985807296977,100.0,11.142307681467816
2023-01-06 09:00:00,MSFT,222.935,0.9969947273564781,217.004,0.9907410789291061,217.682,0.9767612996441728,222.759,5382175,220.27268749999996,0.9985717135244364,221.58471699606534,1.0045195936586024,60.43674995081641,48.94136379549917,0.0,9.533923551428257
2023-01-06 10:00:00,MSFT,220.817,0.9904994729405432,217.647,1.0029630790215849,220.457,1.0127479534366646,217.762,4932171,220.18737499999995,0.9996126959680373,221.47731537739244,1.0054688027420218,42.40458278694173,48.403341361526664,53.58177254296205,12.510688692703928
2023-01-06 11:00:00,MSFT,221.104,1.0012997187716526,219.487,1.0084540563389341,220.54,1.0003764906535062,220.483,3361122,220.17493749999997,0.9999435140184583,221.38804724621224,1.0054529568110446,47.673689490845184,47.395608560137404,55.1843985325353,15.576488611178112
2023-01-06 12:00:00,MSFT,220.718,0.9982542152109414,219.536,1.000223247846114,219.98,0.9974607780901423,220.538,2512839,220.18099999999998,1.0000275349232244,221.25394750847775,1.0049006940605025,45.560701937504014,45.96378390047852,44.37150028963122,18.04157196060207
2023-01-06 13:00:00,MSFT,221.757,1.0047073641479174,219.912,1.0017127031557467,221.664,1.0076552413855806,219.959,2572110,220.2100625,1.0001319936779287,221.29300012671794,1.005050390936175,50.313377998703224,44.01868257462248,76.88743000579258,22.31309584981277
2023-01-06 14:00:00,MSFT,223.34,1.0071384443332116,221.554,1.0074666230128415,223.049,1.0062481954670133,221.66,3951277,220.2818125,1.0003258252560552,221.46023820988765,1.005677196108546,55.57487922705313,41.592271655345805,100.0,27.868651405368322
2023-01-06 15:00:00,MSFT,223.38,1.0001790991313693,222.188,1.0028616048457712,222.485,0.9974714076279203,223.055,5675529,220.4438125,1.0007354215863826,221.55783457085073,1.005792680096323,59.191763800958526,38.69970912459324,89.49133594186713,31.87318616440886
2023-01-06 16:00:00,MSFT,222.677,0.9968528964097054,222.306,1.0005310817865953,222.584,1.0004449738184595,222.472,5487554,220.6095,1.0007516087574468,221.6555646117221,1.0054968751355726,56.887784583381546,35.46460748458616,91.33594186696475,35.464257768327556
2023-01-06 17:00:00,MSFT,222.628,0.9997799503316462,222.415,1.000490315151188,222.446,0.9993800093447867,222.581,6688,220.766,1.0007093982806723,221.73084417251044,1.0050829369202616,57.13300775639186,31.99164929134479,88.7646730016768,40.38827890001514
2023-01-06 18:00:00,MSFT,222.677,1.0002200981008678,222.573,1.0007103837421039,222.614,1.00075523947385,222.59,4280,220.92306250000001,1.0007114433381954,221.81495425131897,1.0047514302533858,59.609159573192635,28.382355074311313,91.89491335941865,45.45680391128829
2023-01-06 19:00:00,MSFT,222.677,1.0,222.494,0.99964506027236,222.653,1.0001751911380237,222.66,7596,221.08256249999997,1.0007219707992232,221.8947681321457,1.004398389290596,58.77638421535638,25.367321306517056,92.62157629960846,50.55908445434028
2023-01-09 04:00:00,MSFT,223.716,1.0046659511310105,222.752,1.0011595818314203,223.653,1.0044912936273034,222.769,6323,221.35837499999997,1.0012475542932067,222.06221878622708,1.0044311784482194,59.96145956362276,23.368038980844922,100.0,55.95441893420976
2023-01-09 05:00:00,MSFT,223.815,1.0004425253446334,223.325,1.0025723674759373,223.801,1.0006617393909314,223.481,8860,221.61187499999994,1.0011452017571052,222.2278169970626,1.003927757407248,61.343176089305004,22.206936544047448,100.0,61.34975341407923
2023-01-09 06:00:00,MSFT,223.914,1.0004423296025735,223.286,0.9998253666181575,223.455,0.9984539836729953,223.6,8002,221.86231249999994,1.001130072564929,222.3446915687709,1.0033067567736205,53.40037621183619,21.72503286720168,94.34548128779252,66.59116904117883
2023-01-09 07:00:00,MSFT,223.815,0.9995578659663978,223.306,1.0000895712225577,223.702,1.0011053679711799,223.451,12156,222.10162499999996,1.0010786532300298,222.47395903841178,1.002756874439465,82.1114695739239,21.800785368032155,98.38208857656497,71.71478313601332
