time,symbol,highPrice,lowPrice,closePrice,openPrice,volume,sma,ema,rsi,oscillateurStochastique,oscillateurStochastiqueSMA
2019-01-07 06:00:00,INTC,41.063,40.936,41.005,41.005,100,40.009,40.67974589830993,79.39189189189193,91.9923371647511,75.04895700298003
2019-01-07 07:00:00,INTC,41.159,40.901,41.083,41.013,16927,40.04325,40.718151050851844,79.03780068728524,94.98084291187739,79.17624521072801
2019-01-07 08:00:00,INTC,41.211,40.823,40.927,41.013,33499,40.069625,40.73804142696119,72.45161290322578,89.00383141762455,82.97147722435083
2019-01-07 09:00:00,INTC,41.159,40.597,40.909,40.97,2417582,40.09190625,40.754323195822025,58.885754583921106,88.31417624521073,85.10004257130699
2019-01-07 10:00:00,INTC,41.307,40.762,41.137,40.9,2460804,40.14225,40.790768605743736,58.00139762403912,97.04980842911884,88.08429118773952
2019-01-07 11:00:00,INTC,41.542,41.04,41.483,41.135,2220726,40.20584375,40.85669540519671,57.705840957072525,99.99999999999999,91.04725415070247
2019-01-07 12:00:00,INTC,41.673,41.292,41.566,41.483,1663783,40.26771875,40.9242482237494,60.19867549668875,100.0,92.8075776926352
2019-01-07 13:00:00,INTC,41.808,41.483,41.627,41.57,1802218,40.331999999999994,40.991176964344696,68.65051903114183,99.99999999999999,93.95487441464458
2019-01-07 14:00:00,INTC,41.76,41.266,41.365,41.627,1663018,40.402375,41.026779158216634,68.93004115226329,91.33311280185245,94.61003457668875
2019-01-07 15:00:00,INTC,41.574,41.118,41.249,41.361,4475412,40.474,41.04794304791029,59.96420047732705,87.49586503473373,94.54541575465075
2019-01-07 16:00:00,INTC,41.324,41.066,41.266,41.248,4391338,40.554187500000005,41.06871037668074,53.84164222873901,88.05822031094927,93.96499759823479
2019-01-07 17:00:00,INTC,41.437,41.196,41.344,41.266,29400,40.633812500000005,41.09492843604448,53.596698113207545,90.63843863711543,93.84295257573311
2019-01-07 18:00:00,INTC,41.411,41.196,41.327,41.344,4048,40.71290625,41.11703048975453,54.50867052023119,90.07608336089964,93.58749445678775
2019-01-07 19:00:00,INTC,41.385,41.196,41.327,41.274,1272,40.792,41.137027585968376,62.36772486772471,90.07608336089964,93.42569321310849
2019-01-08 05:00:00,INTC,41.49,41.335,41.431,41.405,200,40.88034375,41.16502495873329,61.02739726027382,93.51637446245435,93.26983406766374
2019-01-08 06:00:00,INTC,41.507,41.379,41.449,41.448,900,40.952375,41.19207020075869,61.70928667563923,94.11180946080039,93.09171194532848
2019-01-08 07:00:00,INTC,41.603,41.466,41.536,41.544,1016,41.027125000000005,41.22482541973405,69.36201780415416,96.98974528613957,92.97981827135708
2019-01-08 08:00:00,INTC,41.812,41.483,41.736,41.705,16802,41.08421875000001,41.27350871309271,72.12420606916015,100.00000000000001,93.53537382691263
2019-01-08 09:00:00,INTC,41.847,41.37,41.44,41.735,2640151,41.1375,41.2893650261315,71.56227501799839,90.5491698595147,93.45519786551061
2019-01-08 10:00:00,INTC,41.577,40.849,40.992,41.44,2445432,41.17406250000001,41.26104454745231,48.394324122479496,76.24521072796934,92.41432941084905
2019-01-08 11:00:00,INTC,41.185,40.623,41.014,40.996,2407092,41.19365625,41.237516495314,33.15727699530501,76.94763729246505,91.7445408483402
2019-01-08 12:00:00,INTC,41.263,40.819,40.936,41.005,1709788,41.201812499999996,41.208800638617426,31.59159159159168,74.45721583652626,90.9747097145244
2019-01-08 13:00:00,INTC,41.185,40.814,41.092,40.935,2771308,41.214687500000004,41.197676768272906,35.516542876434855,79.43805874840362,89.99627917670688
2019-01-08 14:00:00,INTC,41.359,40.997,41.227,41.1,1510860,41.22434375,41.20046945700882,44.83892176199859,83.74840357598976,89.09341270870631
2019-01-08 15:00:00,INTC,41.594,41.118,41.527,41.222,4674137,41.235343750000006,41.23156760396036,48.81025015253199,93.32694763729259,88.72268757744476
2019-01-08 16:00:00,INTC,41.603,41.396,41.527,41.527,2751444,41.25096875,41.2597040226308,54.9167114454594,93.32694763729259,88.35196244618322
2019-01-08 17:00:00,INTC,41.551,41.361,41.492,41.492,800,41.263999999999996,41.281827449046915,55.42299349240786,92.2094508301405,88.40064789219925
2019-01-08 18:00:00,INTC,41.585,41.361,41.492,41.431,11664,41.278406249999996,41.30184388247102,54.39063331559335,92.2094508301405,88.66251376972183
2019-01-08 19:00:00,INTC,41.585,41.422,41.527,41.492,12561,41.29118750000001,41.32328732223568,51.71830985915492,93.32694763729259,88.95522084340756
2019-01-09 04:00:00,INTC,41.812,41.509,41.753,41.579,655,41.310218750000004,41.36421233916562,52.17633928571434,100.0,89.47530758579005
2019-01-09 05:00:00,INTC,41.812,41.605,41.675,41.753,200,41.3254375,41.39381116400699,55.61885033661309,97.52302318196243,89.88902646473797
2019-01-09 06:00:00,INTC,41.681,41.552,41.623,41.622,500,41.346374999999995,41.415638672196806,48.31398562741848,95.87170530327082,90.21100546153637
2019-01-09 07:00:00,INTC,41.699,41.457,41.623,41.579,9058,41.3656875,41.43538737008283,55.846645367412066,95.87170530327082,90.34185717491508
2019-01-09 08:00:00,INTC,41.812,41.379,41.657,41.622,48415,41.383624999999995,41.45649333483685,78.24529991047402,96.95141314703069,90.4996129352612
2019-01-09 09:00:00,INTC,42.308,41.561,42.101,41.657,2717925,41.420312499999994,41.517874921995244,78.47652790079658,100.0,90.66684930825346
2019-01-09 10:00:00,INTC,42.213,41.492,41.71,42.109,2678762,41.44534374999999,41.53617254847189,88.9632107023408,88.8189877037461,90.04568195846159
2019-01-09 11:00:00,INTC,42.091,41.605,41.945,41.709,1914178,41.47059375,41.57510849623647,67.86127167630053,95.53903345724912,90.32289660278016
2019-01-09 12:00:00,INTC,42.204,41.839,42.119,41.944,1960045,41.490468750000005,41.62690768707109,69.61748633879778,100.0,91.64260711789298
2019-01-09 13:00:00,INTC,42.204,41.778,41.905,42.127,1676597,41.501062499999996,41.65339266925479,67.37089201877922,93.91180654338552,92.58506096516635
2019-01-09 14:00:00,INTC,42.16,41.631,41.988,41.909,2026940,41.51234375,41.68526003408767,59.85401459854011,96.27311522048363,93.7970553753862
2019-01-09 15:00:00,INTC,42.073,41.57,41.753,41.988,3744886,41.524468750000004,41.69171145941265,62.61444557477117,89.58748221906117,94.36091223486716
2019-01-09 16:00:00,INTC,41.934,41.518,41.762,41.761,3683525,41.540499999999994,41.69840560613526,55.92912312585195,89.8435277382646,94.69953024388242
2019-01-09 17:00:00,INTC,41.795,41.631,41.736,41.7,2550,41.5551875,41.70198602459857,55.40229885057472,89.10384068278799,94.46491319085439
2019-01-09 18:00:00,INTC,41.795,41.526,41.736,41.614,900,41.567437500000004,41.70522545082727,49.56962025316449,89.10384068278799,94.23029613782636
2019-01-09 19:00:00,INTC,41.681,41.518,41.588,41.622,635,41.57559375,41.694061122177054,51.60780179230364,84.89331436699862,93.82384411209624
2019-01-10 07:00:00,INTC,41.655,41.422,41.492,41.596,8559,41.58075000000001,41.67481720577924,49.121926743602685,82.1621621621621,93.26566140831966
2019-01-10 08:00:00,INTC,41.707,41.353,41.492,41.579,4533,41.58265625000001,41.65740604332407,46.86452848252752,82.1621621621621,92.64539554859019
2019-01-10 09:00:00,INTC,41.638,41.17,41.375,41.492,1883559,41.580343750000004,41.63051022967416,45.98540145985403,78.83357041251779,91.46948279373007
2019-01-10 10:00:00,INTC,41.821,41.292,41.723,41.374,2258424,41.58618750000001,41.639318779229,28.993055555555515,88.73399715504976,90.9812035700127
2019-01-10 11:00:00,INTC,41.947,41.474,41.884,41.722,1700321,41.59081250000001,41.662621752635765,50.38575667655781,93.31436699857754,90.83912921975195
2019-01-10 12:00:00,INTC,42.004,41.613,41.833,41.874,1343084,41.603093750000006,41.67884825238474,48.10676598386095,91.86344238975815,90.61644794677903
2019-01-10 13:00:00,INTC,41.938,41.457,41.664,41.831,1416140,41.62409375000001,41.67743413311,40.38978494623651,87.05547652916079,90.06667369023073
2019-01-10 14:00:00,INTC,42.117,41.587,42.056,41.657,1457745,41.656656250000005,41.713488025194756,41.64934164934165,98.20768136557604,89.96710043276272
2019-01-10 15:00:00,INTC,42.378,41.952,42.223,42.048,5713036,41.696875,41.76201297517621,51.940639269406326,100.0,90.58826778255461
2019-01-10 16:00:00,INTC,42.335,42.074,42.188,42.24,7254230,41.731125000000006,41.80258316801657,63.954869358669825,99.03288201160551,90.78237048001886
2019-01-10 17:00:00,INTC,42.265,42.082,42.171,42.188,15482,41.760625000000005,41.837670485348326,62.4561403508773,98.56313898867093,90.70254486827837
2019-01-10 18:00:00,INTC,42.335,42.108,42.179,42.205,29394,41.781000000000006,41.87017805817229,62.78659611992957,98.78419452887546,90.97323308969447
2019-01-10 19:00:00,INTC,42.3,42.074,42.145,42.214,9928,41.800312500000004,41.8963515764416,62.96079578701013,97.84470848300646,91.06054382650129
2019-01-11 04:00:00,INTC,42.3,42.169,42.24,42.24,150,41.823687500000005,41.92907999773288,67.46081504702202,99.99999999999999,91.63901703655344
2019-01-11 05:00:00,INTC,42.291,42.16,42.232,42.231,302,41.84681249999999,41.95792952175832,73.46298619824364,99.7799779977997,92.19104205097206
2019-01-11 06:00:00,INTC,42.291,42.16,42.232,42.231,501,41.868843749999996,41.98403147206705,73.09612983770297,99.7799779977997,92.78416079069494
2019-01-11 07:00:00,INTC,42.274,42.03,42.101,42.179,3444,41.879718749999995,41.99517133187019,78.85521885521885,96.1771177117711,93.17712062563844
2019-01-11 08:00:00,INTC,42.247,41.943,42.188,42.101,7548,41.89574999999999,42.01353596693017,64.90536277602524,98.56985698569858,93.93692854889956
2019-01-11 09:00:00,INTC,42.5,41.691,42.418,42.188,2123863,41.92059374999999,42.05205635103206,62.730318257956505,99.99999999999999,94.92791953989052
2019-01-11 10:00:00,INTC,42.779,42.34,42.714,42.422,3006108,41.9546875,42.11509860331471,71.30371449380924,100.0,95.91891053088153
2019-01-11 11:00:00,INTC,42.796,42.36,42.606,42.718,2164519,41.984343749999994,42.16185111728474,84.9999999999999,97.37226277372271,96.9488378842818
2019-01-11 12:00:00,INTC,42.936,42.482,42.793,42.605,2164716,42.00596875,42.22196053468619,72.61513157894753,100.0,97.57472693122348
2019-01-11 13:00:00,INTC,42.857,42.43,42.614,42.788,1557970,42.03421875,42.25929762662084,73.05825242718453,95.72690379565523,97.70875675328335
2019-01-11 14:00:00,INTC,42.7,42.334,42.438,42.614,1973330,42.049625,42.276316900276,65.43478260869543,91.52542372881364,97.68997793878644
2019-01-11 15:00:00,INTC,42.648,42.36,42.562,42.436,3737011,42.06346874999999,42.30352481453543,58.674463937621965,94.4855574122702,98.1027602100703
2019-01-11 16:00:00,INTC,42.622,42.412,42.562,42.562,3602304,42.08399999999999,42.32814149886539,61.57099697885192,94.4855574122702,97.89597554599776
2019-01-11 17:00:00,INTC,42.622,42.412,42.545,42.536,27054,42.10140625,42.34879468944965,62.862430598395974,94.07973263308672,97.56707180339146
2019-01-11 18:00:00,INTC,42.683,42.43,42.623,42.544,5371,42.12859374999999,42.37490948093063,59.88334413480243,95.9417522081642,97.39534236986695
